Name,Country
Acer,Taiwan
Alfa Romeo,Italy
Alta,United Kingdom
Arrows,United Kingdom
Asiatech,France
Aston Martin,United Kingdom
ATS,Italy
BMW,Germany
Borgward,Germany
BPM,Italy
Bristol,United Kingdom
BRM,United Kingdom
Bugatti,France
Butterworth,United Kingdom
BWT Mercedes,Austria
Castellotti,Italy
Climax,United Kingdom
Cosworth,United Kingdom
Cummins,United States of America
De Tomaso,Italy
EMW,Germany
ERA,United Kingdom
European,United Kingdom
Ferrari,Italy
Fondmetal,Italy
Ford,United States of America
Gordini,France
Hart,United Kingdom
Honda RBPT,Japan
Honda,Japan
Ilmor,United Kingdom
Jaguar,United Kingdom
JAP,United Kingdom
Judd,United Kingdom
Kuchen,Germany
Lamborghini,Italy
Lancia,Italy
Lea Francis,United Kingdom
Life,Italy
Maserati,Italy
Matra,France
Mecachrome,France
Megatron,Germany
Mercedes,Germany
Milano,Italy
Motori Moderni,Italy
Mugen-Honda,Japan
Novi,United States of America
Offenhauser,United States of America
OSCA,Italy
Osella,Italy
Petronas,Malaysia
Peugeot,France
Plate,Italy
Playlife,Italy
Porsche,Germany
Pratt & Whitney,United States of America
RBPT,Japan
Renault,France
Repco,Australia
Sauber,Switzerland
Scarab,United States of America
Serenissima,Italy
Subaru,Japan
Supertec,Netherlands
TAG Heuer,Switzerland
TAG,Luxembourg
Talbot-Lago,France
Tecno,Italy
Toro Rosso,Italy
Toyota,Japan
Vanwall,United Kingdom
Veritas,Germany
Weslake,United Kingdom
Yamaha,Japan
Zakspeed,Germany
