Circuit,NumberOfDNFs
Monza,643
Monaco,607
Silverstone,452
Spa-Francorchamps,395
Nurburgring,385
Montreal,373
Hockenheimring,347
Spielberg,303
Imola,291
Interlagos,288
Zandvoort,282
Hungaroring,249
Kyalami,211
Suzuka,210
Catalunya,198
Watkins Glen,195
Buenos Aires,186
Melbourne,185
Brands Hatch,169
Mexico City,168
Paul Ricard,151
Adelaide,147
Estoril,136
Magny-Cours,134
Zolder,124
Jacarepagua,121
Sepang,107
Reims,104
Detroit,102
Long Beach,100
Jarama,90
Jerez,81
Marina Bay,63
Bahrain,63
Mosport,59
Indianapolis,58
Aintree,55
Anderstorp,53
Shanghai,51
Bremgarten,48
Dijon,46
Yas Marina,43
Montjuic,43
Phoenix,42
Austin,38
Fuji,37
Rouen-Les-Essarts,34
Baku,29
Istanbul,25
Sochi,24
Nivelles,23
Pedralbes,22
Clermont Ferrand,22
Aida,22
Mont-Tremblant,19
Caesars Palace,19
Yeongam,18
East London,16
Dallas,16
Donington,14
Porto,13
Jeddah,13
Valencia,12
Zeltweg,11
Sebring,11
Buddh,10
Pescara,9
Losail,9
Ain-Diab,9
Mugello,8
Bugatti,8
Avus,8
Riverside,7
Monsanto,6
Miami,4
Las Vegas,3
Portimao,2
