Country,DriverCount
United Kingdom,170
United States of America,158
Italy,102
France,77
Germany,58
Brazil,34
Switzerland,27
Argentina,26
Japan,25
Belgium,24
South Africa,20
Australia,20
Spain,18
Netherlands,17
Canada,15
Austria,15
Sweden,11
New Zealand,10
Finland,9
Mexico,8
Russia,6
Denmark,6
Venezuela,5
Monaco,5
Ireland,5
Uruguay,4
Portugal,4
Zimbabwe,3
Colombia,3
Thailand,2
Malaysia,2
Israel,2
Indonesia,2
India,2
Czech Republic,2
China,2
Poland,1
Morocco,1
Liechtenstein,1
Hungary,1
Hong Kong,1
Estonia,1
Chile,1
