Engine,NumberOfDNFs
Ford,2443
Ferrari,1062
Renault,729
Honda,489
Mercedes,448
BRM,346
Climax,295
Alfa Romeo,286
BMW,271
Maserati,256
Cosworth,250
Hart,209
Judd,161
Yamaha,123
Peugeot,111
Lamborghini,108
Toyota,107
Gordini,81
Matra,76
Motori Moderni,64
Ilmor,58
Supertec,54
Zakspeed,52
TAG,50
Megatron,48
Arrows,43
Vanwall,42
Alta,41
Talbot Lago,40
Repco,34
Playlife,31
Asiatech,29
RBPT,26
Weslake,19
Porsche,19
Lea Francis,18
Bristol,18
European,17
Toro Rosso,12
Fondmetal,12
Veritas,11
Acer,11
ATS,10
Tecno,9
Lancia,8
Osella,7
OSCA,7
Mecachrome,7
ERA,5
Aston Martin,5
Plate,4
Milano,3
Castellotti,3
Scarab,2
Butterworth,2
Pratt Whitney,1
Offenhauser,1
Kuchen,1
Jaguar,1
JAP,1
EMW,1
Bugatti,1
