Season,DriverCount
1950,81
1951,85
1952,108
1953,110
1954,97
1955,84
1956,85
1957,76
1958,87
1959,88
1960,91
1961,54
1962,51
1963,54
1964,42
1965,52
1966,43
1967,47
1968,44
1969,42
1970,43
1971,50
1972,44
1973,44
1974,62
1975,52
1976,55
1977,61
1978,48
1979,36
1980,41
1981,39
1982,40
1983,35
1984,35
1985,36
1986,32
1987,32
1988,36
1989,47
1990,40
1991,41
1992,39
1993,35
1994,46
1995,35
1996,24
1997,28
1998,23
1999,24
2000,23
2001,26
2002,23
2003,24
2004,25
2005,27
2006,27
2007,26
2008,22
2009,25
2010,27
2011,28
2012,25
2013,23
2014,24
2015,22
2016,24
2017,25
2018,20
2019,20
2020,23
2021,21
2022,22
2023,22
2024,24
