Season,TyreManufacturerCount
1950,4
1951,4
1952,4
1953,4
1954,6
1955,5
1956,4
1957,4
1958,6
1959,3
1960,2
1961,1
1962,1
1963,1
1964,2
1965,2
1966,3
1967,3
1968,3
1969,3
1970,3
1971,2
1972,2
1973,2
1974,2
1975,2
1976,3
1977,4
1978,2
1979,2
1980,2
1981,4
1982,4
1983,3
1984,3
1985,2
1986,2
1987,1
1988,1
1989,2
1990,2
1991,2
1992,1
1993,1
1994,1
1995,1
1996,1
1997,2
1998,2
1999,1
2000,1
2001,2
2002,2
2003,2
2004,2
2005,2
2006,2
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
