,Season,ChampionshipPosition
0,1966,9.0
1,1967,10.0
2,1968,2.0
3,1969,4.0
4,1970,4.0
5,1971,6.0
6,1972,3.0
7,1973,3.0
8,1974,1.0
9,1975,3.0
10,1976,2.0
11,1977,3.0
12,1978,8.0
13,1979,7.0
14,1980,7.0
15,1981,6.0
16,1982,2.0
17,1983,5.0
18,1984,1.0
19,1985,1.0
20,1986,2.0
21,1987,2.0
22,1988,1.0
23,1989,1.0
24,1990,1.0
25,1991,1.0
26,1992,2.0
27,1993,2.0
28,1994,4.0
29,1995,4.0
30,1996,4.0
31,1997,4.0
32,1998,1.0
33,1999,2.0
34,2000,2.0
35,2001,2.0
36,2002,3.0
37,2003,3.0
38,2004,5.0
39,2005,2.0
40,2006,3.0
41,2007,
42,2008,2.0
43,2009,3.0
44,2010,2.0
45,2011,2.0
46,2012,3.0
47,2013,5.0
48,2014,5.0
49,2015,9.0
50,2016,6.0
51,2017,9.0
52,2018,6.0
53,2019,4.0
54,2020,3.0
55,2021,4.0
56,2022,5.0
57,2023,4.0
58,2024,1.0
